Species 1,Species 2,Dist,Std. Err
MW793460.1,MH891769.1,0.0999690946,0.0119445107
MW793459.1,MH891769.1,0.1011312217,0.0120353715
MN192436.1,MH891769.1,0.1202108702,0.0138907050
MN018398.1,MH891769.1,0.0289795028,0.0055817836
MN018397.1,MH891769.1,0.0954302817,0.0113448115
MN018396.1,MH891769.1,0.1250763174,0.0140421380
MN018395.1,MH891769.1,0.0989032722,0.0117461005
MN018394.1,MH891769.1,0.0956362690,0.0110675976
MN018393.1,MH891769.1,0.1173552571,0.0133573938
MN018392.1,MH891769.1,0.0873117508,0.0107611244
MN018391.1,MH891769.1,0.0971045808,0.0116472016
MN018390.1,MH891769.1,0.0588704223,0.0083294916
PZ049732.1,NC 002640.1,0.0623052217,0.0087488969
PX480447.1,NC 002640.1,0.0592045420,0.0086772320
PX480446.1,NC 002640.1,0.0568495150,0.0085373223
PX480445.1,NC 002640.1,0.0580245417,0.0086136302
PX480444.1,NC 002640.1,0.0556794306,0.0085199495
PX480443.1,NC 002640.1,0.0554684455,0.0085806120
PX480442.1,NC 002640.1,0.0533539645,0.0083138479
PX480441.1,NC 002640.1,0.0545142574,0.0083292708
PX480440.1,NC 002640.1,0.0556794306,0.0084422053
PX480439.1,NC 002640.1,0.0545142574,0.0083901402
PX480438.1,NC 002640.1,0.0485788305,0.0078390125
PX480437.1,NC 002640.1,0.0580245417,0.0087625983
PX683084.1,NC 002640.1,0.0642582542,0.0104547371
PX683079.1,NC 002640.1,0.0568495150,0.0085045492
PX683071.1,NC 002640.1,0.0569694774,0.0085209526
PX683067.1,NC 002640.1,0.0626860468,0.0102947288
PX492106.1,NC 002640.1,0.0019011407,0.0013232588
PX368925.1,NC 002640.1,0.0625337787,0.0090955456
PX297388.1,NC 002640.1,0.0176144421,0.0043137549
PV789651.1,NC 002640.1,0.1068093385,0.0127212784
PV344375.1,NC 002640.1,0.0545142574,0.0081604046
PV344355.1,NC 002640.1,0.1019293184,0.0119969650
PV344354.1,NC 002640.1,0.1005840869,0.0119360253
PP128486.1,NC 002640.1,0.0341121117,0.0063738423
PV138436.1,NC 002640.1,0.0971045808,0.0120485483
PQ667806.1,NC 002640.1,0.0116279070,0.0034254961
PQ555702.1,NC 002640.1,0.0452804672,0.0075816212
PP586203.1,NC 002640.1,0.0984165268,0.0117659116
PQ357326.1,NC 002640.1,0.0650531344,0.0089755815
ON799403.1,NC 002640.1,0.0894091201,0.0112168976
ON799402.1,NC 002640.1,0.0909802308,0.0116788948
ON123668.1,NC 002640.1,0.0933030592,0.0117982348
OL314747.1,NC 002640.1,0.0624179511,0.0090641847
OL314746.1,NC 002640.1,0.0555724191,0.0085274114
OL314745.1,NC 002640.1,0.0589787298,0.0088231951
OL314744.1,NC 002640.1,0.0589787298,0.0089010353
OL314743.1,NC 002640.1,0.0612304308,0.0090765946
OL314742.1,NC 002640.1,0.0532518256,0.0082612585
OL314741.1,NC 002640.1,0.0600479318,0.0089853776
OL314740.1,NC 002640.1,0.0578037031,0.0083611369
OL314739.1,NC 002640.1,0.0588704223,0.0088567146
OL314738.1,NC 002640.1,0.0576978706,0.0086708076
OL314737.1,NC 002640.1,0.0543081526,0.0084157224
OL314736.1,NC 002640.1,0.0508562509,0.0081058239
OL314735.1,NC 002640.1,0.0554684455,0.0084708881
OP411002.1,NC 002640.1,0.0579125957,0.0086982010
OP411001.1,NC 002640.1,0.0487609877,0.0077062915
OP411000.1,NC 002640.1,0.0971045808,0.0119947573
OP410999.1,NC 002640.1,0.0476246424,0.0076764611
ON908246.1,NC 002640.1,0.0924806202,0.0114763714
ON908242.1,NC 002640.1,0.0864741796,0.0109832322
ON908241.1,NC 002640.1,0.0864741796,0.0111032373
ON908240.1,NC 002640.1,0.0977422046,0.0117410251
ON908239.1,NC 002640.1,0.0614601245,0.0089929038
MZ215848.1,NC 002640.1,0.3812834153,0.0317647205
OK469362.1,NC 002640.1,0.0320818378,0.0060699284
OK469361.1,NC 002640.1,0.0332695397,0.0061419172
OK469360.1,NC 002640.1,0.0047723776,0.0021167544
OK469359.1,NC 002640.1,0.0028585073,0.0016536298
OK469358.1,NC 002640.1,0.0706154987,0.0097122708
OK605771.1,NC 002640.1,0.0811097705,0.0105844716
OK605770.1,NC 002640.1,0.0247600942,0.0051371278
OK605769.1,NC 002640.1,0.0743021346,0.0097772827
OK605767.1,NC 002640.1,0.0145931759,0.0038996216
MW192825.1,NC 002640.1,0.0969278527,0.0120893852
MW793460.1,NC 002640.1,0.0106193108,0.0033243749
MW793459.1,NC 002640.1,0.0115888682,0.0034737437
MN192436.1,NC 002640.1,0.0332086349,0.0058646741
MN018398.1,NC 002640.1,0.0955364050,0.0116548443
MN018397.1,NC 002640.1,0.0977422046,0.0117745701
MN018396.1,NC 002640.1,0.0631681877,0.0090550668
MN018395.1,NC 002640.1,0.0874580685,0.0111599256
MN018394.1,NC 002640.1,0.1086509793,0.0127579699
MN018393.1,NC 002640.1,0.0553675164,0.0083834437
MN018392.1,NC 002640.1,0.0934760052,0.0117813454
MN018391.1,NC 002640.1,0.0967545059,0.0118597633
MN018390.1,NC 002640.1,0.0863240522,0.0106755629
MH891769.1,NC 002640.1,0.0984407484,0.0121120382
PZ049732.1,MK514144.1,0.0856550202,0.0108908138
PX480447.1,MK514144.1,0.0850213668,0.0109007221
PX480446.1,MK514144.1,0.0824483677,0.0106496291
PX480445.1,MK514144.1,0.0811703506,0.0105528190
PX480444.1,MK514144.1,0.0811703506,0.0105897151
PX480443.1,MK514144.1,0.0859791934,0.0111306206
PX480442.1,MK514144.1,0.0811703506,0.0105064397
PX480441.1,MK514144.1,0.0824483677,0.0104831307
PX480440.1,MK514144.1,0.0811703506,0.0104817064
PX480439.1,MK514144.1,0.0798979388,0.0103381506
PX480438.1,MK514144.1,0.0758214404,0.0101793839
PX480437.1,MK514144.1,0.0811703506,0.0106588171
PX683084.1,MK514144.1,0.0870026967,0.0126442186
PX683079.1,MK514144.1,0.0824483677,0.0105638385
PX683071.1,MK514144.1,0.0826300851,0.0105847331
PX683067.1,MK514144.1,0.0853048538,0.0124667154
PX492106.1,MK514144.1,0.0354287906,0.0062541039
PX368925.1,MK514144.1,0.0859791934,0.0109394396
PX297388.1,MK514144.1,0.0555724191,0.0083415119
PV789651.1,MK514144.1,0.1135097119,0.0134229439
PV344375.1,MK514144.1,0.0773697843,0.0101193041
PV344355.1,MK514144.1,0.1058139535,0.0125149931
PV344354.1,MK514144.1,0.1044534093,0.0124015550
PP128486.1,MK514144.1,0.0743021346,0.0100884533
PV138436.1,MK514144.1,0.1147398844,0.0135855437
PQ667806.1,MK514144.1,0.0332695397,0.0060314957
PQ555702.1,MK514144.1,0.0697816392,0.0094317564
PP586203.1,MK514144.1,0.1009096180,0.0122196275
PQ357326.1,MK514144.1,0.0913727055,0.0110150385
ON799403.1,MK514144.1,0.1093952941,0.0129343766
ON799402.1,MK514144.1,0.1111237166,0.0132763519
ON123668.1,MK514144.1,0.1135459229,0.0135167270
OL314747.1,MK514144.1,0.0884055957,0.0111144866
OL314746.1,MK514144.1,0.0784777518,0.0103502309
OL314745.1,MK514144.1,0.0872742506,0.0110636915
OL314744.1,MK514144.1,0.0872742506,0.0110861427
OL314743.1,MK514144.1,0.0897093010,0.0113158669
OL314742.1,MK514144.1,0.0784777518,0.0103132362
OL314741.1,MK514144.1,0.0884055957,0.0112014860
OL314740.1,MK514144.1,0.0911941112,0.0111144875
OL314739.1,MK514144.1,0.0871076653,0.0111010359
OL314738.1,MK514144.1,0.0832481432,0.0107299078
OL314737.1,MK514144.1,0.0795889221,0.0104526822
OL314736.1,MK514144.1,0.0758214404,0.0101862706
OL314735.1,MK514144.1,0.0808557654,0.0104593523
OP411002.1,MK514144.1,0.0810114474,0.0105251519
OP411001.1,MK514144.1,0.0736186831,0.0099315307
OP411000.1,MK514144.1,0.1147398844,0.0135557747
OP410999.1,MK514144.1,0.0699160876,0.0096405900
ON908246.1,MK514144.1,0.0962548137,0.0118818314
ON908242.1,MK514144.1,0.1034657106,0.0126615500
ON908241.1,MK514144.1,0.1007630494,0.0124447991
ON908240.1,MK514144.1,0.1015756176,0.0121327529
ON908239.1,MK514144.1,0.0797418244,0.0104240267
MZ215848.1,MK514144.1,0.3956410256,0.0334642156
OK469362.1,MK514144.1,0.0721027814,0.0097846384
OK469361.1,MK514144.1,0.0686925058,0.0093713831
OK469360.1,MK514144.1,0.0408278710,0.0067129217
OK469359.1,MK514144.1,0.0387074830,0.0065377720
OK469358.1,MK514144.1,0.0893744634,0.0115259141
OK605771.1,MK514144.1,0.1004085481,0.0126170856
OK605770.1,MK514144.1,0.0237647698,0.0049681438
OK605769.1,MK514144.1,0.0946243227,0.0116244639
OK605767.1,MK514144.1,0.0498071192,0.0077204659
MW192825.1,MK514144.1,0.1145260239,0.0135771713
MW793460.1,MK514144.1,0.0475344213,0.0074695933
MW793459.1,MK514144.1,0.0485788305,0.0075485213
MN192436.1,MK514144.1,0.0453660242,0.0071817437
MN018398.1,MK514144.1,0.1186963912,0.0137091774
MN018397.1,MK514144.1,0.1015756176,0.0120844931
MN018396.1,MK514144.1,0.0877606745,0.0109641510
MN018395.1,MK514144.1,0.1044534093,0.0127804435
MN018394.1,MK514144.1,0.1266649496,0.0145280114
MN018393.1,MK514144.1,0.0845289769,0.0108233983
MN018392.1,MK514144.1,0.1079925354,0.0131560847
MN018391.1,MK514144.1,0.1005840869,0.0123130725
MN018390.1,MK514144.1,0.0979117415,0.0118989158
MH891769.1,MK514144.1,0.1161544953,0.0136325553
NC 002640.1,MK514144.1,0.0376056142,0.0064692300
PZ049732.1,MK506266.1,0.0009487666,0.0009056392
PX480447.1,MK506266.1,0.0898816709,0.0111034998
PX480446.1,MK506266.1,0.0859791934,0.0108790102
PX480445.1,MK506266.1,0.0925124238,0.0115961534
PX480444.1,MK506266.1,0.0885750636,0.0112459623
PX480443.1,MK506266.1,0.0869443597,0.0109944197
PX480442.1,MK506266.1,0.0872742506,0.0110847424
PX480441.1,MK506266.1,0.0885750636,0.0111031762
PX480440.1,MK506266.1,0.0898816709,0.0114552590
PX480439.1,MK506266.1,0.0859791934,0.0108389475
PX480438.1,MK506266.1,0.0818209316,0.0103059805
PX480437.1,MK506266.1,0.0846898539,0.0108654569
PX683084.1,MK506266.1,0.0867806604,0.0130979316
PX683079.1,MK506266.1,0.0783276109,0.0106679622
PX683071.1,MK506266.1,0.0784984791,0.0106881713
PX683067.1,MK506266.1,0.0884834425,0.0133267190
PX492106.1,MK506266.1,0.0611202161,0.0086502582
PX368925.1,MK506266.1,0.0693971684,0.0096248177
PX297388.1,MK506266.1,0.0588704223,0.0086524666
PV789651.1,MK506266.1,0.0801258817,0.0102679716
PV344375.1,MK506266.1,0.0733369684,0.0099064296
PV344355.1,MK506266.1,0.0706154987,0.0093880466
PV344354.1,MK506266.1,0.0693971684,0.0091900605
PP128486.1,MK506266.1,0.0715880893,0.0098998431
PV138436.1,MK506266.1,0.0734762421,0.0096332608
PQ667806.1,MK506266.1,0.0732008682,0.0099109287
PQ555702.1,MK506266.1,0.0732008682,0.0099957593
PP586203.1,MK506266.1,0.0700250313,0.0091465800
PQ357326.1,MK506266.1,0.0897093010,0.0110846613
ON799403.1,MK506266.1,0.0733588830,0.0095129646
ON799402.1,MK506266.1,0.0723364108,0.0097592506
ON123668.1,MK506266.1,0.0745765097,0.0097634162
OL314747.1,MK506266.1,0.0791495467,0.0106205455
OL314746.1,MK506266.1,0.0719693454,0.0099640628
OL314745.1,MK506266.1,0.0706154987,0.0096540245
OL314744.1,MK506266.1,0.0730679477,0.0100984416
OL314743.1,MK506266.1,0.0754065958,0.0102192205
OL314742.1,MK506266.1,0.0683064561,0.0096800430
OL314741.1,MK506266.1,0.0741697360,0.0100974516
OL314740.1,MK506266.1,0.0767866067,0.0099733641
OL314739.1,MK506266.1,0.0754065958,0.0102443039
OL314738.1,MK506266.1,0.0756799596,0.0102263997
OL314737.1,MK506266.1,0.0730679477,0.0100604165
OL314736.1,MK506266.1,0.0693971684,0.0097122832
OL314735.1,MK506266.1,0.0743021346,0.0101049726
OP411002.1,MK506266.1,0.0695221734,0.0098093769
OP411001.1,MK506266.1,0.0721027814,0.0096694400
OP411000.1,MK506266.1,0.0734762421,0.0094732457
OP410999.1,MK506266.1,0.0660109610,0.0096728250
ON908246.1,MK506266.1,0.0717119930,0.0095060743
ON908242.1,MK506266.1,0.0576978706,0.0083492009
ON908241.1,MK506266.1,0.0576978706,0.0083608519
ON908240.1,MK506266.1,0.0717119930,0.0094191094
ON908239.1,MK506266.1,0.0756799596,0.0104514144
MZ215848.1,MK506266.1,0.3724489796,0.0311830701
OK469362.1,MK506266.1,0.0718390805,0.0098490354
OK469361.1,MK506266.1,0.0708739142,0.0096026751
OK469360.1,MK506266.1,0.0576978706,0.0084355703
OK469359.1,MK506266.1,0.0566488880,0.0083059596
OK469358.1,MK506266.1,0.0376056142,0.0065016028
OK605771.1,MK506266.1,0.0472034601,0.0074133587
OK605770.1,MK506266.1,0.0842170110,0.0106952621
OK605769.1,MK506266.1,0.0499020628,0.0076646042
OK605767.1,MK506266.1,0.0553675164,0.0081937239
MW192825.1,MK506266.1,0.0733369684,0.0095371539
MW793460.1,MK506266.1,0.0553675164,0.0080905002
MW793459.1,MK506266.1,0.0564299314,0.0082401200
MN192436.1,MK506266.1,0.0880765331,0.0110510370
MN018398.1,MK506266.1,0.0720467721,0.0096285585
MN018397.1,MK506266.1,0.0668594588,0.0090404427
MN018396.1,MK506266.1,0.0900367569,0.0112454683
MN018395.1,MK506266.1,0.0750206393,0.0099371708
MN018394.1,MK506266.1,0.0745512740,0.0094659946
MN018393.1,MK506266.1,0.0816721782,0.0104188128
MN018392.1,MK506266.1,0.0654404673,0.0091474959
MN018391.1,MK506266.1,0.0658905910,0.0089834711
MN018390.1,MK506266.1,0.0552696385,0.0081962739
MH891769.1,MK506266.1,0.0747184737,0.0095749675
NC 002640.1,MK506266.1,0.0611202161,0.0086401690
MK514144.1,MK506266.1,0.0843713606,0.0107967637
PZ049732.1,MH823210.1,0.0816721782,0.0104434601
PX480447.1,MH823210.1,0.0497151758,0.0075602585
PX480446.1,MH823210.1,0.0451978814,0.0071224141
PX480445.1,MH823210.1,0.0485788305,0.0073620621
PX480444.1,MH823210.1,0.0463202123,0.0072762465
PX480443.1,MH823210.1,0.0508562509,0.0077561674
PX480442.1,MH823210.1,0.0440801644,0.0070452421
PX480441.1,MH823210.1,0.0451978814,0.0071362980
PX480440.1,MH823210.1,0.0463202123,0.0072951545
PX480439.1,MH823210.1,0.0474471857,0.0073131090
PX480438.1,MH823210.1,0.0463202123,0.0072445657
PX480437.1,MH823210.1,0.0463202123,0.0073869363
PX683084.1,MH823210.1,0.0428145973,0.0081818934
PX683079.1,MH823210.1,0.0474471857,0.0075077158
PX683071.1,MH823210.1,0.0475452873,0.0075221334
PX683067.1,MH823210.1,0.0442706931,0.0083382904
PX492106.1,MH823210.1,0.0542096522,0.0080266247
PX368925.1,MH823210.1,0.0484086716,0.0074961590
PX297388.1,MH823210.1,0.0543081526,0.0081397242
PV789651.1,MH823210.1,0.1393914474,0.0154875980
PV344375.1,MH823210.1,0.0451978814,0.0074288029
PV344355.1,MH823210.1,0.1341346986,0.0149995644
PV344354.1,MH823210.1,0.1296873030,0.0146666730
PP128486.1,MH823210.1,0.0644641324,0.0088814245
PV138436.1,MH823210.1,0.1187797432,0.0133061441
PQ667806.1,MH823210.1,0.0636105246,0.0089069619
PQ555702.1,MH823210.1,0.0428920035,0.0071374320
PP586203.1,MH823210.1,0.1300000000,0.0145939174
PQ357326.1,MH823210.1,0.0196146175,0.0045872518
ON799403.1,MH823210.1,0.1078104183,0.0125420223
ON799402.1,MH823210.1,0.1095202399,0.0127987897
ON123668.1,MH823210.1,0.1119301968,0.0131622429
OL314747.1,MH823210.1,0.0483281087,0.0077478994
OL314746.1,MH823210.1,0.0462382939,0.0074273354
OL314745.1,MH823210.1,0.0407544141,0.0069996582
OL314744.1,MH823210.1,0.0450416504,0.0073496200
OL314743.1,MH823210.1,0.0472034601,0.0073807946
OL314742.1,MH823210.1,0.0440028528,0.0072285981
OL314741.1,MH823210.1,0.0438571698,0.0070539996
OL314740.1,MH823210.1,0.0236837643,0.0048404088
OL314739.1,MH823210.1,0.0427508638,0.0068888792
OL314738.1,MH823210.1,0.0438571698,0.0071572371
OL314737.1,MH823210.1,0.0406163571,0.0070013623
OL314736.1,MH823210.1,0.0373444647,0.0066685684
OL314735.1,MH823210.1,0.0417159001,0.0070891145
OP411002.1,MH823210.1,0.0462382939,0.0075493659
OP411001.1,MH823210.1,0.0418584588,0.0067502782
OP411000.1,MH823210.1,0.1159373659,0.0131014334
OP410999.1,MH823210.1,0.0320818378,0.0060571636
ON908246.1,MH823210.1,0.1265276484,0.0144744256
ON908242.1,MH823210.1,0.1087477204,0.0127186726
ON908241.1,MH823210.1,0.1087477204,0.0127930216
ON908240.1,MH823210.1,0.1294508480,0.0145796934
ON908239.1,MH823210.1,0.0451182735,0.0074786870
MZ215848.1,MH823210.1,0.3812834153,0.0316983545
OK469362.1,MH823210.1,0.0623052217,0.0086401405
OK469361.1,MH823210.1,0.0637288909,0.0090255533
OK469360.1,MH823210.1,0.0508562509,0.0077265096
OK469359.1,MH823210.1,0.0498183945,0.0075770394
OK469358.1,MH823210.1,0.0892120075,0.0113438498
OK605771.1,MH823210.1,0.1002364389,0.0121959386
OK605770.1,MH823210.1,0.0743021346,0.0098899382
OK605769.1,MH823210.1,0.0892120075,0.0112069635
OK605767.1,MH823210.1,0.0485788305,0.0074463641
MW192825.1,MH823210.1,0.1157237732,0.0132521219
MW793460.1,MH823210.1,0.0508562509,0.0076931815
MW793459.1,MH823210.1,0.0519083969,0.0077407939
MN192436.1,MH823210.1,0.0843713606,0.0109713110
MN018398.1,MH823210.1,0.1142394312,0.0131514628
MN018397.1,MH823210.1,0.1265276484,0.0143639599
MN018396.1,MH823210.1,0.0525440971,0.0077316042
MN018395.1,MH823210.1,0.0975760771,0.0121146478
MN018394.1,MH823210.1,0.1293468233,0.0142591667
MN018393.1,MH823210.1,0.0462382939,0.0071708040
MN018392.1,MH823210.1,0.1105522260,0.0131212324
MN018391.1,MH823210.1,0.1284554629,0.0146211963
MN018390.1,MH823210.1,0.0977422046,0.0117625630
MH891769.1,MH823210.1,0.1173552571,0.0132237897
NC 002640.1,MH823210.1,0.0542096522,0.0080102175
MK514144.1,MH823210.1,0.0819729333,0.0103774359
MK506266.1,MH823210.1,0.0804081055,0.0103350918
PZ049732.1,MH888334.1,0.0695221734,0.0096728520
PX480447.1,MH888334.1,0.0533539645,0.0077775036
PX480446.1,MH888334.1,0.0487609877,0.0072325990
PX480445.1,MH888334.1,0.0521985212,0.0075609281
PX480444.1,MH888334.1,0.0476246424,0.0070942419
PX480443.1,MH888334.1,0.0543081526,0.0080249310
PX480442.1,MH888334.1,0.0499020628,0.0074418891
PX480441.1,MH888334.1,0.0510478974,0.0074538326
PX480440.1,MH888334.1,0.0499020628,0.0075282088
PX480439.1,MH888334.1,0.0487609877,0.0072894248
PX480438.1,MH888334.1,0.0474471857,0.0071734194
PX480437.1,MH888334.1,0.0499020628,0.0074643109
PX683084.1,MH888334.1,0.0315836824,0.0067725716
PX683079.1,MH888334.1,0.0268951211,0.0054362201
PX683071.1,MH888334.1,0.0258990140,0.0053023677
PX683067.1,MH888334.1,0.0301882506,0.0066112397
PX492106.1,MH888334.1,0.0498071192,0.0076600583
PX368925.1,MH888334.1,0.0257582636,0.0052370749
PX297388.1,MH888334.1,0.0521985212,0.0079834055
PV789651.1,MH888334.1,0.1179204496,0.0134081975
PV344375.1,MH888334.1,0.0268951211,0.0053970195
PV344355.1,MH888334.1,0.1157237732,0.0133656601
PV344354.1,MH888334.1,0.1143156887,0.0132555633
PP128486.1,MH888334.1,0.0623052217,0.0087421146
PV138436.1,MH888334.1,0.1107427056,0.0131137067
PQ667806.1,MH888334.1,0.0567400440,0.0084038354
PQ555702.1,MH888334.1,0.0289505703,0.0056507787
PP586203.1,MH888334.1,0.1091792426,0.0128037003
PQ357326.1,MH888334.1,0.0452804672,0.0070367651
ON799403.1,MH888334.1,0.1027172009,0.0123408615
ON799402.1,MH888334.1,0.1016640782,0.0124727168
ON123668.1,MH888334.1,0.1067874966,0.0129927840
OL314747.1,MH888334.1,0.0278048113,0.0054892500
OL314746.1,MH888334.1,0.0258014650,0.0052054509
OL314745.1,MH888334.1,0.0247189579,0.0051626116
OL314744.1,MH888334.1,0.0247189579,0.0053040414
OL314743.1,MH888334.1,0.0267592916,0.0054795433
OL314742.1,MH888334.1,0.0237228476,0.0050314383
OL314741.1,MH888334.1,0.0236475274,0.0050955072
OL314740.1,MH888334.1,0.0429670330,0.0069434429
OL314739.1,MH888334.1,0.0246806742,0.0052143958
OL314738.1,MH888334.1,0.0236475274,0.0049763981
OL314737.1,MH888334.1,0.0206026127,0.0046595402
OL314736.1,MH888334.1,0.0175576037,0.0042560953
OL314735.1,MH888334.1,0.0216256158,0.0047336687
OP411002.1,MH888334.1,0.0258014650,0.0052864942
OP411001.1,MH888334.1,0.0216984702,0.0048215875
OP411000.1,MH888334.1,0.1107427056,0.0130110070
OP410999.1,MH888334.1,0.0125985346,0.0035366616
ON908246.1,MH888334.1,0.1113185406,0.0129853238
ON908242.1,MH888334.1,0.0969278527,0.0118380810
ON908241.1,MH888334.1,0.0996001981,0.0119677132
ON908240.1,MH888334.1,0.1141088844,0.0130335611
ON908239.1,MH888334.1,0.0247600942,0.0052756945
MZ215848.1,MH888334.1,0.3829669277,0.0322266340
OK469362.1,MH888334.1,0.0625337787,0.0087962615
OK469361.1,MH888334.1,0.0615795905,0.0088189539
OK469360.1,MH888334.1,0.0464929976,0.0074313986
OK469359.1,MH888334.1,0.0454597733,0.0072709185
OK469358.1,MH888334.1,0.0805540884,0.0106210704
OK605771.1,MH888334.1,0.0913346872,0.0113883737
OK605770.1,MH888334.1,0.0696503324,0.0093764127
OK605769.1,MH888334.1,0.0869443597,0.0110394667
OK605767.1,MH888334.1,0.0487609877,0.0074573759
MW192825.1,MH888334.1,0.1105350305,0.0130684718
MW793460.1,MH888334.1,0.0464929976,0.0073361780
MW793459.1,MH888334.1,0.0475344213,0.0073910292
MN192436.1,MH888334.1,0.0795889221,0.0103224603
MN018398.1,MH888334.1,0.1035823367,0.0123816354
MN018397.1,MH888334.1,0.1113185406,0.0128359258
MN018396.1,MH888334.1,0.0561474091,0.0079432573
MN018395.1,MH888334.1,0.0992449082,0.0121700871
MN018394.1,MH888334.1,0.1169269603,0.0133145449
MN018393.1,MH888334.1,0.0496262393,0.0074185820
MN018392.1,MH888334.1,0.1014039331,0.0123130445
MN018391.1,MH888334.1,0.1103308420,0.0129480195
MN018390.1,MH888334.1,0.0825067800,0.0106542255
MH891769.1,MH888334.1,0.1121410847,0.0131397562
NC 002640.1,MH888334.1,0.0498071192,0.0076749568
MK514144.1,MH888334.1,0.0747184737,0.0097213599
MK506266.1,MH888334.1,0.0683064561,0.0095818803
MH823210.1,MH888334.1,0.0374053544,0.0063194253
PZ049732.1,MG601754.1,0.0621955971,0.0086416276
PX480447.1,MG601754.1,0.1216486847,0.0141667312
PX480446.1,MG601754.1,0.1173552571,0.0139190646
PX480445.1,MG601754.1,0.1289397300,0.0149698435
PX480444.1,MG601754.1,0.1173552571,0.0140206252
PX480443.1,MG601754.1,0.1284554629,0.0146484208
PX480442.1,MG601754.1,0.1230932337,0.0142201347
PX480441.1,MG601754.1,0.1216486847,0.0140052544
PX480440.1,MG601754.1,0.1289397300,0.0151098837
PX480439.1,MG601754.1,0.1145260239,0.0136280920
PX480438.1,MG601754.1,0.1197674419,0.0138898041
PX480437.1,MG601754.1,0.1159373659,0.0139038186
PX683084.1,MG601754.1,0.1289023004,0.0169758406
PX683079.1,MG601754.1,0.1187797432,0.0140582225
PX683071.1,MG601754.1,0.1190547042,0.0140822265
PX683067.1,MG601754.1,0.1269768714,0.0166999060
PX492106.1,MG601754.1,0.0913346872,0.0112922943
PX368925.1,MG601754.1,0.1113185406,0.0131553092
PX297388.1,MG601754.1,0.0914929215,0.0114192601
PV789651.1,MG601754.1,0.0155473640,0.0039644362
PV344375.1,MG601754.1,0.1187797432,0.0136897773
PV344355.1,MG601754.1,0.0057471264,0.0023600677
PV344354.1,MG601754.1,0.0047801147,0.0021409811
PP128486.1,MG601754.1,0.1081760811,0.0128334975
PV138436.1,MG601754.1,0.0903507984,0.0110316116
PQ667806.1,MG601754.1,0.0965845465,0.0116924367
PQ555702.1,MG601754.1,0.1101301455,0.0132753340
PP586203.1,MG601754.1,0.0145142087,0.0037270620
PQ357326.1,MG601754.1,0.1361435217,0.0152117134
ON799403.1,MG601754.1,0.0941562730,0.0111880148
ON799402.1,MG601754.1,0.0931084275,0.0112808842
ON123668.1,MG601754.1,0.0967545059,0.0115267010
OL314747.1,MG601754.1,0.1267572131,0.0146239242
OL314746.1,MG601754.1,0.1157237732,0.0138164734
OL314745.1,MG601754.1,0.1240809324,0.0143844305
OL314744.1,MG601754.1,0.1240809324,0.0143459039
OL314743.1,MG601754.1,0.1224133634,0.0141758389
OL314742.1,MG601754.1,0.1143156887,0.0136820805
OL314741.1,MG601754.1,0.1238545393,0.0142811562
OL314740.1,MG601754.1,0.1314063705,0.0146991776
OL314739.1,MG601754.1,0.1253024733,0.0144161046
OL314738.1,MG601754.1,0.1214218327,0.0142680529
OL314737.1,MG601754.1,0.1183429558,0.0139725753
OL314736.1,MG601754.1,0.1141088844,0.0137206007
OL314735.1,MG601754.1,0.1197674419,0.0139781734
OP411002.1,MG601754.1,0.1073716005,0.0130155876
OP411001.1,MG601754.1,0.1089452480,0.0130171622
OP411000.1,MG601754.1,0.0903507984,0.0108977166
OP410999.1,MG601754.1,0.1075659809,0.0132241755
ON908246.1,MG601754.1,0.0086553265,0.0029318796
ON908242.1,MG601754.1,0.0440028528,0.0071027554
ON908241.1,MG601754.1,0.0417856976,0.0068766705
ON908240.1,MG601754.1,0.0086553265,0.0029623073
ON908239.1,MG601754.1,0.1157237732,0.0137364872
MZ215848.1,MG601754.1,0.4091646004,0.0344293785
OK469362.1,MG601754.1,0.1085536795,0.0127737583
OK469361.1,MG601754.1,0.1048262548,0.0124682636
OK469360.1,MG601754.1,0.0927995288,0.0115630048
OK469359.1,MG601754.1,0.0903911455,0.0112423928
OK469358.1,MG601754.1,0.0395212883,0.0064969367
OK605771.1,MG601754.1,0.0320288789,0.0057769878
OK605770.1,MG601754.1,0.1029208491,0.0123949984
OK605769.1,MG601754.1,0.0692753239,0.0092404200
OK605767.1,MG601754.1,0.0927995288,0.0114591994
MW192825.1,MG601754.1,0.0901921085,0.0109240704
MW793460.1,MG601754.1,0.0901921085,0.0112267706
MW793459.1,MG601754.1,0.0913346872,0.0113301035
MN192436.1,MG601754.1,0.1069932735,0.0123581750
MN018398.1,MG601754.1,0.0824577774,0.0101620547
MN018397.1,MG601754.1,0.0125985346,0.0036506619
MN018396.1,MG601754.1,0.1273088191,0.0146703243
MN018395.1,MG601754.1,0.0737917721,0.0098788474
MN018394.1,MG601754.1,0.0579575640,0.0081613808
MN018393.1,MG601754.1,0.1253024733,0.0143426306
MN018392.1,MG601754.1,0.0448973867,0.0070745804
MN018391.1,MG601754.1,0.0067064063,0.0025577302
MN018390.1,MG601754.1,0.0748984370,0.0098090322
MH891769.1,MG601754.1,0.0916545037,0.0109930882
NC 002640.1,MG601754.1,0.0939479115,0.0114468003
MK514144.1,MG601754.1,0.0977422046,0.0118923062
MK506266.1,MG601754.1,0.0633831174,0.0087398276
MH823210.1,MG601754.1,0.1253024733,0.0143465169
MH888334.1,MG601754.1,0.1073716005,0.0126443050
